unit,carriage,c_unload,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 
MIO_TKM,OWN,BY,NL	: 	: 	7 	: 	: 	0 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,BY,PL	: 	: 	: 	0 	10 	1 	1 	5 	8 	21 	2 	2 	0 	17 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,BY,RO	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,BY,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CH,AT	45 	52 	43 	50 	65 	73 	54 	73 	62 	76 	50 	47 	72 	45 	38 	49 	44 	50 	49 	58 	70 	26 	25 	30 	41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CH,BE	17 	6 	21 	34 	30 	3 	6 	2 	11 	17 	8 	7 	13 	11 	18 	21 	20 	15 	7 	5 	19 	32 	22 	12 	: 	9 	1 	7 	36 	64 	26 	42 	38 	0 	16 	11 	0 	0 
MIO_TKM,OWN,CH,CZ	: 	5 	: 	1 	: 	16 	7 	2 	: 	3 	3 	18 	12 	11 	6 	: 	: 	: 	: 	15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CH,DE	153 	173 	143 	170 	181 	136 	195 	189 	185 	157 	192 	271 	149 	177 	204 	251 	190 	176 	200 	106 	174 	162 	133 	0 	225 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,OWN,CH,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	0 	1 	3 	0 	: 	3 	1 	4 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,OWN,CH,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CH,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	: 	: 	: 	: 	: 	5 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	: 	: 	: 	: 
MIO_TKM,OWN,CH,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35 	45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CH,FR	185 	208 	166 	188 	106 	91 	109 	20 	29 	47 	52 	63 	27 	55 	54 	49 	58 	64 	47 	26 	35 	49 	0 	88 	52 	41 	27 	24 	28 	47 	87 	75 	76 	57 	83 	53 	55 	0 
MIO_TKM,OWN,CH,HR	: 	: 	0 	3 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CH,HU	2 	1 	: 	: 	2 	4 	2 	2 	12 	4 	1 	2 	1 	2 	: 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CH,IT	13 	47 	16 	21 	18 	8 	53 	13 	37 	35 	49 	61 	49 	50 	27 	63 	51 	26 	17 	17 	82 	: 	79 	24 	39 	3 	2 	3 	0 	: 	9 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CH,LT	9 	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CH,LU	5 	7 	5 	7 	9 	6 	4 	2 	3 	0 	3 	6 	3 	1 	: 	1 	1 	: 	1 	2 	0 	: 	0 	: 	: 	0 	: 	3 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 
MIO_TKM,OWN,CH,NL	11 	15 	12 	63 	42 	43 	27 	22 	39 	7 	20 	35 	78 	20 	16 	31 	24 	13 	14 	9 	12 	0 	0 	: 	0 	0 	0 	0 	0 	20 	23 	39 	33 	28 	37 	: 	: 	14 
MIO_TKM,OWN,CH,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CH,PL	9 	32 	53 	10 	59 	11 	32 	12 	25 	4 	17 	19 	7 	3 	7 	21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CH,PT	9 	: 	3 	: 	: 	: 	6 	12 	18 	: 	19 	26 	: 	15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CH,RO	8 	7 	7 	5 	9 	16 	9 	8 	15 	: 	12 	: 	: 	40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CH,SE	: 	: 	: 	7 	: 	: 	3 	: 	2 	1 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CH,SI	1 	6 	1 	1 	2 	4 	1 	: 	: 	7 	7 	4 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CH,SK	: 	: 	: 	: 	: 	5 	3 	: 	: 	: 	7 	: 	1 	: 	14 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CH,UK	2 	0 	4 	11 	: 	2 	4 	1 	0 	: 	: 	: 	0 	0 	0 	: 	3 	3 	1 	0 	29 	3 	7 	6 	12 	9 	3 	8 	2 	2 	0 	8 	0 	0 	5 	4 	6 	5 
MIO_TKM,OWN,CZ,AT	12 	16 	17 	26 	13 	15 	12 	16 	14 	28 	29 	16 	21 	28 	14 	16 	10 	10 	13 	18 	21 	8 	9 	6 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ,BE	9 	3 	1 	1 	0 	2 	: 	: 	1 	: 	1 	: 	2 	: 	: 	4 	: 	5 	2 	2 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ,BG	: 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ,DE	52 	67 	36 	45 	79 	54 	60 	46 	66 	46 	60 	73 	45 	48 	59 	50 	13 	32 	13 	22 	20 	31 	52 	16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ,DK	: 	: 	: 	: 	: 	1 	5 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ,ES	: 	: 	: 	: 	: 	: 	: 	28 	: 	28 	: 	20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ,FR	: 	12 	47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ,HR	: 	: 	: 	: 	: 	8 	: 	5 	4 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ,HU	7 	5 	8 	8 	2 	5 	1 	12 	0 	9 	8 	11 	16 	12 	8 	4 	1 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ,IT	: 	: 	: 	2 	1 	2 	: 	: 	: 	: 	: 	1 	: 	4 	: 	: 	: 	1 	: 	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ,LT	: 	: 	: 	: 	7 	1 	: 	1 	: 	1 	0 	3 	2 	0 	: 	: 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ,LU	: 	: 	: 	: 	: 	0 	1 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ,NL	4 	1 	: 	: 	4 	0 	8 	11 	18 	2 	4 	8 	13 	19 	: 	4 	0 	: 	: 	: 	1 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ,PL	272 	176 	204 	210 	285 	271 	260 	286 	205 	201 	212 	128 	89 	96 	74 	49 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ,RO	61 	40 	42 	21 	23 	14 	19 	17 	30 	8 	6 	33 	48 	30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ,SE	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ,SI	0 	1 	: 	1 	1 	: 	2 	1 	4 	3 	: 	1 	2 	: 	: 	: 	1 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ,SK	76 	86 	62 	88 	52 	63 	48 	37 	37 	21 	72 	51 	84 	54 	55 	61 	82 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ,UK	: 	2 	: 	: 	: 	5 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ_SK,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,OWN,CZ_SK,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5 	0 	13 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ_SK,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ_SK,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4 	0 	: 	: 	: 	11 	7 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ_SK,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8 	44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ_SK,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,CZ_SK,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	0 	1 	2 	1 	1 	0 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DE,AT	403 	355 	443 	397 	437 	456 	364 	385 	525 	410 	377 	395 	422 	410 	347 	494 	567 	517 	577 	590 	534 	139 	137 	133 	152 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DE,BE	111 	72 	41 	204 	82 	110 	102 	122 	180 	159 	142 	141 	189 	246 	258 	392 	362 	245 	211 	364 	345 	449 	494 	591 	602 	583 	493 	611 	753 	715 	573 	543 	546 	525 	389 	514 	402 	473 
MIO_TKM,OWN,DE,BG	28 	: 	: 	30 	52 	: 	: 	: 	: 	: 	: 	: 	94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DE,CH	10 	33 	21 	8 	63 	109 	47 	41 	42 	32 	75 	48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DE,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DE,CZ	64 	228 	306 	267 	211 	223 	261 	195 	144 	174 	210 	185 	236 	199 	182 	645 	568 	523 	227 	299 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DE,DK	48 	29 	35 	21 	7 	8 	24 	8 	36 	35 	20 	19 	51 	78 	45 	44 	24 	53 	48 	90 	69 	69 	54 	60 	49 	60 	207 	202 	180 	145 	120 	111 	125 	118 	149 	168 	171 	161 
MIO_TKM,OWN,DE,EE	: 	: 	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8 	: 	2 	22 	23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DE,ES	3 	: 	21 	: 	: 	16 	37 	7 	16 	: 	8 	12 	5 	72 	14 	22 	22 	: 	22 	33 	93 	8 	: 	21 	22 	29 	65 	271 	333 	: 	: 	12 	4 	4 	: 	: 	: 	: 
MIO_TKM,OWN,DE,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1806 	2310 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DE,FI	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DE,FR	171 	51 	99 	189 	122 	90 	57 	62 	94 	111 	47 	105 	85 	106 	125 	89 	128 	81 	134 	79 	142 	207 	370 	466 	230 	183 	161 	263 	147 	162 	420 	368 	320 	304 	300 	318 	249 	307 
MIO_TKM,OWN,DE,HR	: 	8 	6 	5 	5 	3 	12 	14 	3 	11 	18 	21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DE,HU	120 	92 	97 	150 	74 	51 	101 	76 	99 	132 	100 	155 	79 	56 	23 	15 	18 	26 	37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DE,IE	4 	0 	: 	: 	2 	: 	: 	: 	: 	1 	: 	14 	9 	: 	12 	10 	7 	: 	: 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8 	10 	7 	: 	: 	: 	4 	: 
MIO_TKM,OWN,DE,IT	7 	8 	11 	12 	12 	27 	19 	5 	12 	1 	8 	44 	37 	47 	109 	79 	61 	153 	154 	90 	114 	: 	115 	203 	246 	91 	91 	102 	100 	118 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DE,LI	: 	: 	: 	: 	: 	: 	1 	1 	1 	0 	1 	1 	1 	1 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DE,LT	13 	32 	18 	18 	31 	28 	13 	16 	16 	26 	18 	20 	11 	9 	8 	49 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DE,LU	134 	126 	133 	165 	93 	97 	68 	58 	49 	31 	35 	32 	38 	31 	34 	45 	32 	32 	33 	26 	31 	: 	5 	4 	6 	13 	28 	52 	: 	: 	: 	: 	: 	27 	56 	30 	19 	41 
MIO_TKM,OWN,DE,LV	28 	37 	11 	24 	2 	15 	25 	24 	17 	9 	5 	24 	27 	21 	16 	3 	13 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DE,NL	757 	730 	706 	776 	774 	841 	885 	808 	809 	825 	1047 	1021 	1198 	925 	1038 	1308 	1092 	602 	750 	695 	731 	504 	460 	678 	682 	779 	738 	762 	720 	681 	651 	687 	569 	603 	613 	631 	665 	633 
MIO_TKM,OWN,DE,NO	2 	: 	0 	: 	16 	7 	16 	36 	19 	2 	67 	0 	6 	: 	1 	: 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DE,PL	1738 	1418 	1554 	1528 	948 	1168 	1394 	1234 	868 	1076 	839 	752 	862 	707 	722 	908 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DE,PT	: 	: 	: 	24 	14 	45 	11 	158 	62 	49 	67 	13 	50 	56 	11 	57 	20 	21 	21 	22 	23 	2 	: 	6 	725 	: 	: 	: 	: 	: 	: 	2 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DE,RO	218 	313 	159 	203 	165 	138 	294 	276 	221 	301 	419 	240 	704 	1113 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DE,SE	38 	22 	41 	4 	19 	6 	: 	2 	12 	4 	5 	8 	1 	1 	8 	2 	5 	2 	6 	31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DE,SI	20 	36 	51 	42 	106 	97 	67 	32 	35 	28 	13 	44 	23 	16 	18 	12 	31 	27 	25 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DE,SK	81 	25 	61 	68 	67 	10 	26 	15 	17 	35 	45 	54 	35 	66 	34 	60 	44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DE,UK	51 	75 	26 	34 	27 	32 	33 	35 	6 	: 	6 	1 	14 	4 	12 	9 	58 	20 	45 	50 	78 	59 	61 	81 	66 	69 	23 	47 	30 	28 	49 	22 	15 	24 	21 	18 	21 	18 
MIO_TKM,OWN,DK,AT	2 	: 	: 	2 	: 	8 	: 	12 	: 	3 	: 	7 	3 	5 	1 	4 	1 	: 	1 	5 	5 	2 	1 	1 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DK,BE	0 	2 	1 	4 	14 	: 	2 	1 	2 	5 	6 	: 	4 	1 	9 	9 	8 	8 	3 	1 	2 	14 	5 	8 	3 	12 	11 	14 	3 	6 	: 	11 	10 	8 	5 	1 	3 	1 
MIO_TKM,OWN,DK,CZ	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DK,DE	87 	74 	85 	74 	91 	110 	64 	77 	82 	66 	107 	186 	153 	120 	196 	126 	137 	105 	123 	111 	88 	59 	126 	21 	48 	34 	36 	38 	38 	40 	45 	47 	44 	49 	37 	33 	30 	25 
MIO_TKM,OWN,DK,EE	: 	: 	: 	: 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DK,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DK,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	73 	60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DK,FI	: 	: 	: 	: 	: 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DK,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5 	: 	: 	: 	: 	: 	: 	6 	: 	: 	5 	6 	4 	1 	: 	108 	9 	8 	: 
MIO_TKM,OWN,DK,HU	: 	: 	: 	: 	2 	: 	: 	: 	: 	: 	: 	3 	15 	: 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DK,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DK,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DK,LT	: 	: 	11 	: 	2 	1 	: 	: 	: 	: 	: 	: 	: 	: 	4 	0 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DK,LU	0 	: 	: 	1 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 
MIO_TKM,OWN,DK,LV	: 	: 	9 	4 	6 	: 	4 	3 	: 	: 	: 	: 	6 	: 	: 	: 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DK,NL	28 	27 	40 	39 	28 	16 	8 	17 	20 	46 	43 	79 	92 	17 	22 	49 	47 	7 	8 	13 	25 	12 	19 	12 	3 	4 	15 	7 	11 	8 	8 	15 	18 	10 	12 	15 	11 	9 
MIO_TKM,OWN,DK,NO	15 	: 	7 	39 	2 	76 	90 	: 	1 	7 	15 	: 	3 	15 	1 	8 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DK,PL	126 	52 	136 	61 	36 	29 	72 	61 	152 	66 	107 	48 	94 	83 	43 	36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DK,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,DK,RO	8 	15 	: 	4 	20 	13 	13 	: 	8 	5 	5 	: 	73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
