,unit,carriage,destination,origin,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
2126,MIO_TKM,OWN,HU,LT,,,,,,,,,,
2127,MIO_TKM,OWN,HU,LU,,1.0,0.0,1.0,,,,,,
2128,MIO_TKM,OWN,HU,LV,,,,,,,5.0,,,
2129,MIO_TKM,OWN,HU,NL,,,6.0,2.0,11.0,6.0,6.0,21.0,11.0,20.0
2130,MIO_TKM,OWN,HU,NO,,5.0,,,,,,,,
2131,MIO_TKM,OWN,HU,PL,141.0,57.0,79.0,165.0,138.0,88.0,104.0,48.0,82.0,121.0
2132,MIO_TKM,OWN,HU,RO,117.0,135.0,91.0,83.0,72.0,93.0,112.0,69.0,59.0,52.0
2133,MIO_TKM,OWN,HU,SE,,,4.0,,,,,,,
2134,MIO_TKM,OWN,HU,SI,4.0,14.0,22.0,9.0,15.0,8.0,1.0,11.0,6.0,6.0
2135,MIO_TKM,OWN,HU,SK,37.0,72.0,28.0,15.0,24.0,14.0,27.0,41.0,29.0,51.0
2136,MIO_TKM,OWN,HU,UK,,,1.0,,,,,,,
2137,MIO_TKM,OWN,IE,BE,,,,,,,1.0,2.0,4.0,1.0
2138,MIO_TKM,OWN,IE,CZ,,,,,,,,,,
2139,MIO_TKM,OWN,IE,DE,,,3.0,,,,,,,
2140,MIO_TKM,OWN,IE,DK,,,,,,,,,,
2141,MIO_TKM,OWN,IE,ES,,,,,,,,,,
2142,MIO_TKM,OWN,IE,EU15,,,,,,,,,,
2143,MIO_TKM,OWN,IE,FR,,,,,,,,,,
2144,MIO_TKM,OWN,IE,HU,,,,7.0,,,,,,3.0
2145,MIO_TKM,OWN,IE,LU,,,,,,,,,,
2146,MIO_TKM,OWN,IE,NL,7.0,2.0,,6.0,,2.0,,12.0,,
2147,MIO_TKM,OWN,IE,PL,,,,,,,,,25.0,
2148,MIO_TKM,OWN,IE,RO,,,,5.0,,,,,,
2149,MIO_TKM,OWN,IE,SE,,,8.0,,,,,,,
2150,MIO_TKM,OWN,IE,SI,,,,,,,,,,
2151,MIO_TKM,OWN,IE,UK,210.0,142.0,228.0,164.0,314.0,225.0,174.0,261.0,224.0,283.0
2152,MIO_TKM,OWN,IL,CY,,,,,,,,,,
2153,MIO_TKM,OWN,IQ,RO,,,,,,,14.0,,,
2154,MIO_TKM,OWN,IR,DE,,,,,,,,,,
2155,MIO_TKM,OWN,IS,DE,,,,,,,,,,
2156,MIO_TKM,OWN,IT,AT,187.0,156.0,182.0,186.0,191.0,165.0,173.0,226.0,221.0,282.0
2157,MIO_TKM,OWN,IT,BE,18.0,,9.0,2.0,,8.0,4.0,14.0,43.0,29.0
2158,MIO_TKM,OWN,IT,BG,61.0,15.0,12.0,3.0,21.0,,46.0,,39.0,88.0
2159,MIO_TKM,OWN,IT,CH,5.0,5.0,2.0,29.0,1.0,18.0,20.0,25.0,35.0,29.0
2160,MIO_TKM,OWN,IT,CZ,35.0,43.0,4.0,,9.0,10.0,31.0,29.0,42.0,8.0
2161,MIO_TKM,OWN,IT,DE,15.0,25.0,21.0,61.0,60.0,46.0,57.0,44.0,80.0,94.0
2162,MIO_TKM,OWN,IT,DK,,,,,,,,,,
2163,MIO_TKM,OWN,IT,EE,,,,,,,,,,
2164,MIO_TKM,OWN,IT,EL,,0.0,,2.0,0.0,,0.0,5.0,,
2165,MIO_TKM,OWN,IT,ES,1.0,33.0,4.0,28.0,45.0,14.0,18.0,18.0,10.0,15.0
2166,MIO_TKM,OWN,IT,EU15,,,,,,,,,,
2167,MIO_TKM,OWN,IT,FR,15.0,32.0,77.0,59.0,74.0,56.0,54.0,58.0,45.0,77.0
2168,MIO_TKM,OWN,IT,HR,33.0,88.0,36.0,29.0,13.0,6.0,5.0,19.0,11.0,30.0
2169,MIO_TKM,OWN,IT,HU,90.0,46.0,72.0,102.0,52.0,65.0,61.0,73.0,60.0,69.0
2170,MIO_TKM,OWN,IT,IE,,,,3.0,,4.0,,,5.0,4.0
