aid,view,danmaku,reply,favorite,coin,share,now_rank,his_rank,like
551,2916,32,15,47,2,5,0,0,1
552,-1,947,26,93,3,7,0,0,1
553,5551,2196,172,986,128,36,0,326,1
554,11786,322,56,254,22,12,0,0,3
556,2617,27,33,39,2,11,0,0,3
557,4901,268,40,38,2,4,0,0,0
559,2278,67,62,24,4,10,0,0,4
560,2667,39,32,30,4,3,0,0,3
561,7975,231,35,45,6,6,0,0,2
563,2263,37,24,14,2,3,0,0,1
565,3666,61,36,47,5,14,0,0,3
566,2085,56,44,105,20,13,0,0,2
567,4403,83,54,31,14,9,0,0,1
571,18789,895,49,488,32,16,0,0,2
572,106924,2379,143,742,61,71,0,897,5
575,5850,124,68,79,9,7,0,0,13
576,8938,82,28,97,10,10,0,0,1
577,1866,150,18,20,4,6,0,0,0
578,12402,821,91,228,20,21,0,0,7
580,4472,71,35,100,13,6,0,0,0
581,544,68,38,14,3,7,0,0,2
582,5413,546,24,36,7,4,0,0,1
583,26856,1730,186,705,130,45,0,0,14
585,2157,147,21,15,4,6,0,0,0
586,98567,4434,106,2689,70,36,0,639,18
593,1607,19,14,12,4,5,0,0,1
595,2239,46,23,16,5,3,0,0,2
596,7015,639,26,32,5,3,0,0,0
597,3603,306,14,18,2,1,0,0,0
598,3464,213,33,82,10,5,0,0,0
603,5153,163,72,96,10,6,0,0,2
605,33404,1322,55,282,22,22,0,0,2
606,3322,88,26,79,9,3,0,0,2
610,6507,563,86,111,12,9,0,0,4
612,21322,612,66,687,55,19,0,0,13
614,4461,307,42,48,6,6,0,0,2
617,2891,11,22,12,21,7,0,0,0
618,5430,62,94,45,8,8,0,0,1
620,5084,136,34,50,17,6,0,0,1
623,3878,29,45,42,17,2,0,0,0
624,10697,41,50,23,7,9,0,0,4
625,2232,19,32,16,4,9,0,0,2
631,2607,39,11,9,19,5,0,0,0
632,2942,89,17,25,12,5,0,0,1
633,6377,969,9,31,8,7,0,0,0
635,4319,583,32,20,4,2,0,0,1
637,218701,2409,1817,8516,761,254,0,399,313
638,9437,368,68,251,13,10,0,0,2
640,1690,16,22,16,4,7,0,0,1
641,1479,31,24,27,4,2,0,0,0
642,6649,290,25,112,5,9,0,0,0
644,-1,257,38,21,5,1,0,0,1
645,1668,22,14,10,4,4,0,0,0
646,2020,96,23,27,4,2,0,0,1
648,1257,21,19,11,5,3,0,0,0
649,2053,34,12,22,5,11,0,0,0
650,5083,72,25,26,8,5,0,0,2
651,1802,53,13,28,8,3,0,0,0
653,1594,51,17,14,3,2,0,0,0
654,9223,162,34,126,20,17,0,0,2
