dt, fans
2018-5-7-11-26-38,6424
2018-5-7-11-37-10,6424
2018-5-7-11-47-42,6424
2018-5-7-11-58-13,6425
2018-5-7-12-8-46,6425
2018-5-7-12-19-17,6425
2018-5-7-12-29-49,6425
2018-5-7-12-40-21,6426
2018-5-7-12-50-53,6426
2018-5-7-13-1-28,6426
2018-5-7-13-12-2,6427
2018-5-7-13-22-37,6429
2018-5-7-13-33-9,6429
2018-5-7-13-43-44,6429
2018-5-7-13-54-18,6429
2018-5-7-14-4-51,6430
2018-5-7-14-15-24,6431
2018-5-7-14-25-55,6431
2018-5-7-14-36-27,6432
2018-5-7-14-46-59,6432
2018-5-7-14-57-30,6432
2018-5-7-15-8-3,6432
2018-5-7-15-18-36,6432
2018-5-7-15-29-10,6431
2018-5-7-15-39-41,6431
2018-5-7-15-50-16,6431
2018-5-7-16-0-47,6431
2018-5-7-16-11-20,6431
2018-5-7-16-21-52,6431
2018-5-7-16-32-25,6431
2018-5-7-16-42-59,6431
2018-5-7-16-53-31,6431
2018-5-7-17-4-4,6431
2018-5-7-17-14-37,6431
2018-5-7-17-25-10,6431
2018-5-7-17-35-45,6431
2018-5-7-17-46-19,6431
2018-5-7-17-56-50,6432
2018-5-7-18-7-25,6436
2018-5-7-18-17-57,6439
2018-5-7-18-28-30,6443
2018-5-7-18-39-3,6447
2018-5-7-18-49-36,6449
2018-5-7-19-0-8,6452
2018-5-7-19-10-41,6455
2018-5-7-19-21-15,6455
2018-5-7-19-31-49,6456
2018-5-7-19-42-23,6456
2018-5-7-19-52-56,6458
2018-5-7-20-3-27,6459
2018-5-7-20-13-59,6459
2018-5-7-20-24-32,6461
2018-5-7-20-35-5,6463
2018-5-7-20-45-37,6464
2018-5-7-20-56-8,6466
2018-5-7-21-6-40,6468
2018-5-7-21-17-13,6470
2018-5-7-21-27-46,6471
2018-5-7-21-38-18,6474
2018-5-7-21-48-51,6475
2018-5-7-21-59-24,6479
2018-5-7-22-9-56,6483
2018-5-7-22-20-29,6489
2018-5-7-22-31-1,6498
2018-5-7-22-41-33,6502
2018-5-7-22-52-6,6506
2018-5-7-23-2-38,6510
2018-5-7-23-13-9,6515
2018-5-7-23-23-41,6523
2018-5-7-23-34-14,6525
2018-5-7-23-44-47,6530
2018-5-7-23-55-21,6535
2018-5-8-0-5-55,6539
2018-5-8-0-16-28,6546
2018-5-8-0-26-59,6549
2018-5-8-0-37-33,6555
2018-5-8-0-48-4,6562
2018-5-8-0-58-37,6570
2018-5-8-1-9-8,6582
2018-5-8-1-19-39,6591
2018-5-8-1-30-11,6597
2018-5-8-1-40-44,6604
2018-5-8-1-51-16,6616
2018-5-8-2-1-48,6620
2018-5-8-2-12-24,6630
2018-5-8-2-22-56,6637
2018-5-8-2-33-30,6645
2018-5-8-2-44-4,6650
2018-5-8-2-54-37,6655
2018-5-8-3-5-9,6664
2018-5-8-3-15-43,6668
2018-5-8-3-26-16,6676
