freq,unit,tra_meas,rep_airp,partner\TIME_PERIOD	2019-Q4 
Q,T,FRM_BRD,FR_LFRN,EU28	2222 
Q,T,FRM_BRD,FR_LFRS,EU28	2375 
Q,T,FRM_BRD,FR_LFRZ,EU28	4463 
Q,T,FRM_BRD,FR_LFSB,EU28	5 
Q,T,FRM_BRD,FR_LFST,EU28	2 
Q,T,FRM_BRD,FR_LFTH,EU28	0 
Q,T,FRM_BRD,FR_LFTW,EU28	0 
Q,T,FRM_BRD,FR_SOCA,EU28	831 
Q,T,FRM_BRD,FR_TFFF,EU28	3227 
Q,T,FRM_BRD,FR_TFFG,EU28	93 
Q,T,FRM_BRD,FR_TFFR,EU28	3429 
Q,T,FRM_BRD,HR_LDDU,EU28	17 
Q,T,FRM_BRD,HR_LDPL,EU28	0 
Q,T,FRM_BRD,HR_LDSP,EU28	35 
Q,T,FRM_BRD,HR_LDZA,EU28	1754 
Q,T,FRM_BRD,HR_LDZD,EU28	0 
Q,T,FRM_BRD,HU_LHBP,EU28	11832 
Q,T,FRM_BRD,HU_LHDC,EU28	0 
Q,T,FRM_BRD,IE_EICK,EU28	15 
Q,T,FRM_BRD,IE_EIDW,EU28	17544 
Q,T,FRM_BRD,IE_EIKN,EU28	3 
Q,T,FRM_BRD,IE_EIKY,EU28	0 
Q,T,FRM_BRD,IE_EINN,EU28	3449 
Q,T,FRM_BRD,IS_BIAR,EU28	0 
Q,T,FRM_BRD,IS_BIKF,EU28	10457 
Q,T,FRM_BRD,IS_BIRK,EU28	0 
Q,T,FRM_BRD,IT_LIBC,EU28	0 
Q,T,FRM_BRD,IT_LIBD,EU28	664 
Q,T,FRM_BRD,IT_LIBP,EU28	0 
Q,T,FRM_BRD,IT_LIBR,EU28	3 
Q,T,FRM_BRD,IT_LICA,EU28	382 
Q,T,FRM_BRD,IT_LICB,EU28	0 
Q,T,FRM_BRD,IT_LICC,EU28	1398 
Q,T,FRM_BRD,IT_LICD,EU28	5 
Q,T,FRM_BRD,IT_LICJ,EU28	526 
Q,T,FRM_BRD,IT_LICR,EU28	6 
Q,T,FRM_BRD,IT_LICT,EU28	3 
Q,T,FRM_BRD,IT_LIEA,EU28	3 
Q,T,FRM_BRD,IT_LIEE,EU28	1277 
Q,T,FRM_BRD,IT_LIEO,EU28	22 
Q,T,FRM_BRD,IT_LIMC,EU28	39632 
Q,T,FRM_BRD,IT_LIME,EU28	28996 
Q,T,FRM_BRD,IT_LIMF,EU28	22 
Q,T,FRM_BRD,IT_LIMJ,EU28	36 
Q,T,FRM_BRD,IT_LIML,EU28	638 
Q,T,FRM_BRD,IT_LIMZ,EU28	0 
Q,T,FRM_BRD,IT_LIPE,EU28	7605 
Q,T,FRM_BRD,IT_LIPH,EU28	0 
Q,T,FRM_BRD,IT_LIPO,EU28	5052 
Q,T,FRM_BRD,IT_LIPQ,EU28	11 
Q,T,FRM_BRD,IT_LIPR,EU28	0 
Q,T,FRM_BRD,IT_LIPX,EU28	5 
Q,T,FRM_BRD,IT_LIPY,EU28	1718 
Q,T,FRM_BRD,IT_LIPZ,EU28	7168 
Q,T,FRM_BRD,IT_LIRA,EU28	4985 
Q,T,FRM_BRD,IT_LIRF,EU28	4428 
Q,T,FRM_BRD,IT_LIRN,EU28	2616 
Q,T,FRM_BRD,IT_LIRP,EU28	3445 
Q,T,FRM_BRD,IT_LIRQ,EU28	4 
Q,T,FRM_BRD,IT_LIRZ,EU28	0 
Q,T,FRM_BRD,LT_EYKA,EU28	798 
Q,T,FRM_BRD,LT_EYPA,EU28	0 
