direct,unit,rep_mar\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 
TOTAL,THS_T,NL_0NLBZM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12 	19 	: 	: 	: 
TOTAL,THS_T,NL_0NLCPI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	0 	: 	0 	: 	0 	: 	0 	: 
TOTAL,THS_T,NL_0NLCUY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	: 	: 	: 	: 
TOTAL,THS_T,NL_0NLDEV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	0 	8 
TOTAL,THS_T,NL_0NLDHR	100 	182 	268 	190 	295 	276 	220 	175 	122 	268 	243 	234 	257 	262 	201 	107 	81 	138 	108 	98 	93 	109 	130 
TOTAL,THS_T,NL_0NLDIN	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29 	: 
TOTAL,THS_T,NL_0NLDOI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 
TOTAL,THS_T,NL_0NLDOK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 
TOTAL,THS_T,NL_0NLDOR	: 	: 	3688 	3337 	2851 	2834 	3092 	3286 	3466 	3084 	963 	1612 	2139 	2375 	2119 	2217 	2232 	2329 	2260 	2383 	2232 	2453 	2562 
TOTAL,THS_T,NL_0NLDRU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	: 	: 	: 
TOTAL,THS_T,NL_0NLDZL	6061 	7237 	6686 	6325 	6119 	4115 	3469 	3558 	3240 	3368 	1992 	3119 	2949 	2685 	2835 	2344 	2536 	2901 	2908 	2868 	2319 	2526 	2522 
TOTAL,THS_T,NL_0NLFRK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	9 	: 	: 	: 
TOTAL,THS_T,NL_0NLGDR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	2 	0 	0 	0 	: 	0 	0 	1 	: 	0 	0 
TOTAL,THS_T,NL_0NLGEN	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 	: 	: 	4 	: 	7 	: 
TOTAL,THS_T,NL_0NLGNM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	0 
TOTAL,THS_T,NL_0NLGOR	: 	: 	: 	: 	: 	: 	: 	: 	: 	17 	3 	9 	8 	0 	0 	0 	1 	2 	2 	1 	: 	1 	1 
TOTAL,THS_T,NL_0NLGRA	: 	: 	: 	: 	: 	: 	: 	: 	: 	17 	21 	37 	55 	43 	62 	39 	75 	73 	154 	172 	: 	151 	197 
TOTAL,THS_T,NL_0NLGRQ	: 	: 	: 	: 	: 	: 	: 	: 	: 	7 	3 	17 	3 	4 	16 	12 	15 	60 	55 	60 	: 	32 	68 
TOTAL,THS_T,NL_0NLGTB	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5 	2 	: 	4 	7 	17 	2 	7 	: 	10 
TOTAL,THS_T,NL_0NLHAN	: 	: 	: 	: 	: 	: 	: 	: 	: 	6 	20 	5 	19 	1 	4 	7 	12 	9 	9 	26 	: 	: 	134 
TOTAL,THS_T,NL_0NLHAR	629 	518 	667 	565 	404 	368 	293 	404 	292 	999 	638 	868 	1108 	1069 	906 	664 	748 	815 	805 	886 	934 	1053 	777 
TOTAL,THS_T,NL_0NLHAS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NL_0NLHGL	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 	: 	: 	2 	1 	2 	3 	16 	14 	13 	18 	: 	0 	13 
TOTAL,THS_T,NL_0NLHIA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	: 	: 	: 	: 	0 	: 	: 	1 	0 
TOTAL,THS_T,NL_0NLHRX	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	3 	11 	22 	13 	16 	0 	1 	: 	5 	3 
TOTAL,THS_T,NL_0NLHTB	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	2 	: 	1 	2 
TOTAL,THS_T,NL_0NLHTN	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26 	: 
TOTAL,THS_T,NL_0NLKAM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	5 	13 	14 	19 	21 	: 	24 	34 
TOTAL,THS_T,NL_0NLKRP	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	: 	0 	1 	1 	5 	: 	1 	1 
TOTAL,THS_T,NL_0NLLAN	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	0 	: 	: 	2 	: 	: 	: 
TOTAL,THS_T,NL_0NLLCH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5 	8 
TOTAL,THS_T,NL_0NLLWR	: 	: 	: 	: 	: 	: 	: 	: 	: 	9 	2 	5 	1 	2 	: 	0 	11 	13 	11 	11 	: 	: 	5 
TOTAL,THS_T,NL_0NLMEP	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 
TOTAL,THS_T,NL_0NLMEW	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8 	: 
TOTAL,THS_T,NL_0NLMID	: 	: 	: 	: 	: 	: 	: 	: 	: 	19 	6 	6 	5 	5 	1 	6 	4 	6 	10 	3 	: 	11 	6 
TOTAL,THS_T,NL_0NLMIH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	11 	36 	19 	21 	56 	39 	37 	: 	11 	16 
TOTAL,THS_T,NL_0NLMOE	6522 	6503 	6863 	5901 	5552 	5275 	5309 	6160 	6200 	5888 	4966 	5784 	4842 	5236 	4232 	3598 	3653 	4294 	4140 	4480 	3496 	3311 	2624 
TOTAL,THS_T,NL_0NLMSB	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	2 	0 
TOTAL,THS_T,NL_0NLMSL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	: 	: 	0 	0 	0 	0 	: 	0 	0 
TOTAL,THS_T,NL_0NLMSS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23 	43 	23 	59 	: 	0 	: 
TOTAL,THS_T,NL_0NLMST	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	4 	: 	11 	12 	: 	8 	7 
TOTAL,THS_T,NL_0NLNIJ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	1 	3 	: 	25 	51 	55 	102 	: 	76 	110 
TOTAL,THS_T,NL_0NLNLK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	4 	: 	: 	: 	1 	0 	0 	0 	: 	: 	: 	4 
TOTAL,THS_T,NL_0NLOAI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10 	15 	30 	52 	35 	28 	38 	60 	29 	: 	91 	90 
TOTAL,THS_T,NL_0NLOMD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	4 	11 	9 	31 	10 	: 	20 	29 
TOTAL,THS_T,NL_0NLOOS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	4 	: 	: 	1 	: 	7 	11 
TOTAL,THS_T,NL_0NLOSS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6 	4 	: 	2 	: 	19 	41 
TOTAL,THS_T,NL_0NLOUG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	2 
TOTAL,THS_T,NL_0NLPAP	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	2 	0 	0 	0 	0 	3 	0 	: 	5 	9 
TOTAL,THS_T,NL_0NLRAA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 
TOTAL,THS_T,NL_0NLRAS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	1 
TOTAL,THS_T,NL_0NLREW	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	90 	: 
TOTAL,THS_T,NL_0NLRHE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7 
TOTAL,THS_T,NL_0NLRID	: 	: 	: 	: 	: 	: 	: 	: 	: 	21 	6 	5 	11 	18 	8 	11 	15 	8 	13 	10 	: 	14 	4 
TOTAL,THS_T,NL_0NLRNK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9 	35 	8 	5 	12 	17 	91 	101 	119 	90 	: 	63 	51 
TOTAL,THS_T,NL_0NLROZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	0 	1 	: 	14 	12 	3 	60 	: 	31 	0 
TOTAL,THS_T,NL_0NLRTM	439633 	441474 	433293 	431944 	436942 	418611 	411855 	409785 	404447 	395763 	353871 	384210 	374152 	353576 	345819 	330865 	307353 	302744 	296620 	302545 	299506 	306986 	303427 
TOTAL,THS_T,NL_0NLSCE	: 	: 	: 	: 	: 	: 	: 	: 	: 	34 	22 	22 	48 	3185 	3413 	3168 	3016 	3079 	3250 	3170 	4205 	4266 	3976 
TOTAL,THS_T,NL_0NLSCI	: 	: 	: 	: 	: 	: 	: 	: 	: 	358 	363 	40 	58 	70 	148 	199 	416 	221 	226 	434 	: 	343 	307 
TOTAL,THS_T,NL_0NLSLD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 	0 	0 	0 	0 	: 	0 
TOTAL,THS_T,NL_0NLSML	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	4 	12 	16 
TOTAL,THS_T,NL_0NLSNK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	0 
TOTAL,THS_T,NL_0NLSTE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4 	5 	6 	: 	6 	40 	42 	63 	52 	38 	: 	10 
TOTAL,THS_T,NL_0NLSVG	: 	: 	: 	: 	: 	: 	: 	: 	: 	123 	30 	78 	116 	125 	133 	78 	197 	295 	306 	391 	: 	291 	227 
TOTAL,THS_T,NL_0NLTEX	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	: 	: 	1 	0 	0 	0 	: 	0 	0 
TOTAL,THS_T,NL_0NLTIE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7 	: 	4 	: 	29 	15 
TOTAL,THS_T,NL_0NLTNZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	13725 	11173 	12105 	12786 	12035 	12746 	12319 	12261 	12123 	11171 	9527 	10137 	9860 	10894 
TOTAL,THS_T,NL_0NLUTC	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	1 	2 	18 	11 	6 	13 	: 	37 	67 
TOTAL,THS_T,NL_0NLVEN	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	2 	4 	4 	9 	3 	1 	: 	: 	: 	: 
TOTAL,THS_T,NL_0NLVIE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	: 	: 	: 	: 
TOTAL,THS_T,NL_0NLVLA	9237 	10374 	10624 	9932 	8815 	8721 	9139 	8817 	9891 	8446 	6961 	5447 	5728 	2089 	2505 	1760 	3016 	2463 	2199 	2870 	3061 	3975 	3661 
TOTAL,THS_T,NL_0NLVLI	: 	: 	: 	: 	: 	: 	: 	: 	: 	16099 	15407 	18114 	18392 	15803 	15248 	14517 	14331 	12430 	13117 	12659 	13867 	13500 	14020 
TOTAL,THS_T,NL_0NLWCM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 
TOTAL,THS_T,NL_0NLWGW	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 	6 	: 	19 	22 
TOTAL,THS_T,NL_0NLWKD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6 	: 	: 	1 
TOTAL,THS_T,NL_0NLWTE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 
TOTAL,THS_T,NL_0NLZAA	: 	: 	: 	: 	: 	: 	: 	: 	: 	79 	118 	126 	166 	164 	169 	207 	343 	239 	229 	284 	487 	530 	556 
TOTAL,THS_T,NL_0NLZSP	38911 	36715 	34147 	33261 	33642 	34212 	32062 	32476 	33694 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NL_0NLZWI	: 	: 	: 	: 	: 	: 	: 	: 	: 	71 	102 	44 	52 	58 	118 	170 	186 	172 	246 	213 	194 	157 	165 
TOTAL,THS_T,NL_0NLZWO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	5 	1 	: 	: 	15 	8 
TOTAL,THS_T,NO	211207 	215438 	210649 	200143 	193605 	200812 	207057 	205959 	198970 	195132 	182635 	193368 	198507 	196818 	201678 	198199 	186781 	190034 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NO720	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NO888	21590 	20387 	20349 	25142 	16953 	29404 	29060 	24505 	24161 	19457 	17110 	21084 	20125 	16638 	24237 	23442 	13769 	18791 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NO88N	3710 	3519 	2833 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NO88S	9833 	14994 	8634 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOAAF	: 	: 	: 	25 	: 	: 	: 	19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOAAN	: 	: 	: 	: 	: 	: 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	470 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOADY	15 	11 	147 	126 	86 	186 	97 	110 	274 	56 	62 	58 	57 	9 	74 	80 	93 	64 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOAES	1678 	1839 	1828 	1655 	1529 	1660 	1726 	1835 	1716 	1999 	1864 	1688 	1618 	1311 	1212 	1261 	1271 	1173 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOAFT	: 	: 	: 	257 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOALF	517 	557 	601 	581 	465 	487 	659 	666 	637 	600 	690 	553 	524 	549 	578 	701 	581 	533 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOARE	669 	510 	409 	365 	387 	202 	179 	192 	181 	182 	129 	180 	174 	240 	205 	302 	485 	344 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOASL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	85 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOASV	151 	151 	128 	: 	: 	370 	272 	306 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOAUL	410 	327 	313 	305 	238 	200 	225 	213 	215 	216 	220 	245 	193 	212 	193 	113 	110 	81 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOBAR	: 	: 	: 	: 	: 	: 	: 	32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOBEJ	: 	: 	: 	12 	: 	: 	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOBGN	584 	662 	447 	554 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOBGO	44173 	44314 	48092 	44654 	43569 	42078 	51797 	54627 	52308 	49770 	56010 	52352 	61224 	67864 	73874 	75635 	76406 	85344 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOBJF	0 	0 	124 	164 	: 	81 	43 	83 	50 	90 	1373 	45 	274 	35 	33 	36 	32 	37 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOBJU	: 	: 	: 	: 	: 	: 	: 	40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOBLL	11 	19 	32 	18 	: 	: 	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOBNN	1838 	2118 	2134 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOBOO	785 	927 	375 	499 	736 	408 	648 	1146 	772 	784 	872 	737 	812 	845 	695 	661 	617 	593 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOBOX	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOBRE	: 	: 	: 	3777 	3659 	3190 	2918 	3557 	3738 	4039 	2179 	1730 	2140 	1514 	1322 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOBRG	: 	: 	: 	3210 	2803 	2762 	2720 	2807 	2827 	2618 	2454 	2795 	2621 	2951 	3015 	3477 	3539 	3478 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOBRO	: 	: 	: 	1954 	1889 	1916 	1829 	1933 	2125 	2175 	1800 	2242 	1940 	1916 	1971 	2113 	1473 	1291 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOBRR	: 	: 	: 	81 	73 	61 	67 	78 	74 	70 	61 	96 	124 	116 	95 	75 	41 	69 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOBVG	17 	1 	1 	12 	: 	: 	: 	1 	2 	1 	2 	40 	46 	3 	2 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NODRM	4609 	3007 	2310 	2421 	2202 	1998 	2833 	3042 	2968 	2567 	2285 	3216 	3448 	2941 	3159 	2823 	2212 	1275 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NODYL	0 	1 	50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOEGD	: 	: 	: 	635 	729 	687 	558 	600 	709 	659 	505 	602 	610 	592 	711 	738 	783 	794 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOEGE	605 	611 	680 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOEID	: 	: 	: 	: 	: 	: 	: 	597 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOEIL	117 	63 	66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOETN	57 	101 	100 	95 	: 	: 	: 	33 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOFAN	384 	374 	443 	356 	323 	337 	366 	305 	321 	370 	260 	400 	400 	954 	2123 	1180 	333 	369 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOFAU	21 	21 	29 	15 	: 	: 	: 	18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOFFD	151 	1448 	69 	67 	: 	: 	: 	5 	4 	: 	: 	: 	: 	: 	8 	10 	8 	3 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOFIS	1276 	1489 	1854 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOFKS	: 	: 	: 	103 	: 	: 	: 	: 	: 	: 	: 	: 	6 	5 	7 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOFRK	3318 	3618 	3414 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOFRO	2443 	2387 	2093 	2522 	2674 	2687 	1975 	1962 	1633 	1628 	1498 	1248 	1086 	1052 	1029 	1079 	1130 	1122 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOFSN	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOFUS	46 	32 	39 	49 	: 	: 	: 	39 	28 	29 	29 	23 	22 	21 	20 	24 	26 	17 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOGRV	: 	: 	: 	: 	: 	: 	: 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOGTD	32 	43 	23 	38 	: 	: 	: 	36 	43 	14 	1 	1 	6 	4 	4 	7 	7 	9 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOGUL	: 	: 	: 	: 	: 	: 	: 	: 	: 	8 	1 	1 	10 	2 	0 	2 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOGVL	11864 	12421 	11925 	11047 	11824 	10903 	10745 	10312 	10143 	9969 	7957 	10177 	10720 	10156 	9805 	9657 	9774 	9439 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOHAA	63 	65 	44 	64 	: 	66 	59 	56 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOHAD	453 	390 	510 	525 	469 	532 	485 	517 	484 	467 	443 	401 	437 	319 	315 	293 	280 	205 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOHAL	817 	920 	797 	711 	746 	257 	959 	548 	718 	860 	876 	1034 	933 	691 	714 	639 	341 	677 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOHAU	10137 	10668 	12000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOHFT	5665 	5473 	5395 	5809 	4460 	4806 	4077 	4818 	3366 	5101 	3652 	2748 	558 	462 	678 	535 	329 	239 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOHOL	53 	55 	71 	69 	: 	: 	: 	48 	81 	78 	214 	63 	64 	59 	145 	131 	41 	52 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOHOR	130 	130 	93 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOHRD	403 	701 	613 	650 	595 	368 	786 	417 	410 	412 	312 	45 	399 	453 	455 	473 	401 	34 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOHRI	38 	48 	41 	72 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOHUS	248 	105 	130 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOHVG	4 	4 	: 	: 	31 	64 	75 	77 	101 	103 	108 	110 	209 	211 	186 	205 	210 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOHYR	: 	: 	: 	: 	: 	: 	: 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOIBE	: 	: 	: 	14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOJON	: 	: 	: 	: 	: 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOKAF	: 	: 	: 	92 	: 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOKAS	: 	: 	: 	12087 	11659 	10455 	10963 	11937 	13188 	12174 	12556 	14239 	15193 	14086 	14094 	13361 	13505 	12869 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOKAY	: 	: 	: 	44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOKKN	70 	78 	133 	5629 	15224 	5458 	2266 	2417 	1867 	1662 	171 	82 	84 	117 	115 	95 	135 	51 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOKRA	932 	890 	1184 	820 	689 	717 	660 	937 	903 	839 	818 	1070 	891 	781 	673 	670 	618 	655 	: 	: 	: 	: 	: 
TOTAL,THS_T,NO_0NOKRS	1780 	1740 	1764 	1836 	1746 	1770 	1757 	1817 	1740 	1806 	1772 	2052 	1939 	1768 	1941 	1943 	1925 	1698 	: 	: 	: 	: 	: 
