direct,unit,rep_mar\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 
IN,THS_T,DE_2DEWIS	1357 	1637 	2108 	2084 	2407 	2226 	2238 	2103 	2051 	2236 	1863 	1758 	2451 	2332 	2212 	1271 	1495 	1666 	1802 	1928 	1774 	1114 	1213 
IN,THS_T,DE_2DEWOL	106 	86 	43 	36 	101 	81 	96 	92 	140 	95 	93 	101 	114 	100 	118 	117 	160 	211 	293 	383 	235 	232 	143 
IN,THS_T,DE_3	99 	91 	387 	597 	346 	424 	490 	427 	462 	650 	1253 	720 	782 	559 	657 	681 	597 	965 	1009 	1078 	: 	: 	: 
IN,THS_T,DE_3DE061	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	68 	51 	53 	52 	52 	23 	18 	2 	: 	: 	: 	: 
IN,THS_T,DE_3DE888	: 	8 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 	: 	: 	: 	: 
IN,THS_T,DE_3DEAND	: 	: 	: 	: 	: 	: 	: 	1 	: 	0 	23 	: 	: 	: 	: 	1 	6 	7 	: 	2 	: 	: 	: 
IN,THS_T,DE_3DEBER	: 	: 	24 	4 	2 	1 	1 	: 	1 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	1 	: 	: 	: 
IN,THS_T,DE_3DEBWE	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	1 	: 	4 	2 	1 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_3DECGN	: 	: 	42 	24 	18 	31 	19 	5 	4 	15 	32 	14 	27 	16 	6 	7 	0 	4 	8 	: 	: 	: 	: 
IN,THS_T,DE_3DECRL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 	2 	2 	: 	1 	: 	: 	: 	: 	1 	: 	: 	: 
